dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
sift,0.7,P0-none,0,0.0,0,0.9654,0.9348,0.9348
sift,0.7,P1-fixed@50000,4,5.5252,76992,0.9792,0.9665,0.9665
sift,0.7,P1-fixed@20000,10,9.9248,78816,0.982,0.9751,0.9779
sift,0.7,P1-fixed@10000,20,17.4463,87801,0.9828,0.9772,0.9787
sift,0.7,P1-fixed@5000,34,23.8011,94988,0.9835,0.9786,0.9821
sift,0.7,P2-signal@0.004,6,7.6132,84216,0.9814,0.9751,0.9751
sift,0.7,P2-signal@0.008,3,3.9008,76001,0.978,0.9656,0.9768
sift,0.7,P2-signal@0.015,2,2.6125,63424,0.9771,0.9699,0.9703
sift,0.7,P2-signal@0.030,1,1.2799,51651,0.9739,0.9637,0.9637
